"filename", "language", "Svelte", "JavaScript", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "Ignore", "comment", "blank", "total"
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createBoundsStore.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 0, 3, 13, 98
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createDerivedCursoreStore.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createEdge.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createGraph.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createNode.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 5, 75
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createStore.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/generateInput.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/generateOutput.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 9, 48
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/drawers/flowchartDrawer.ts", "TypeScript", 0, 0, 0, 312, 0, 0, 0, 0, 26, 22, 360
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/clickOutside.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/debounce.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/generateKey.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/getRandomColor.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/getTouchDistance.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
