Date : 2023-04-14 12:25:57
Directory : /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet
Total : 113 files,  11491 codes, 109 comments, 920 blanks, all 12520 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/calculators/updateTranslation.ts             | TypeScript         |         15 |          0 |          5 |         20 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createAnchor.ts                     | TypeScript         |         45 |          3 |          4 |         52 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createBoundsStore.ts                | TypeScript         |         82 |          3 |         13 |         98 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createDerivedCursoreStore.ts        | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createEdge.ts                       | TypeScript         |         39 |          0 |          5 |         44 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createGraph.ts                      | TypeScript         |         62 |          0 |          8 |         70 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createNode.ts                       | TypeScript         |         70 |          0 |          5 |         75 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/createStore.ts                      | TypeScript         |         49 |          0 |          7 |         56 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/generateInput.ts                    | TypeScript         |         12 |          0 |          2 |         14 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/generateOutput.ts                   | TypeScript         |         39 |          0 |          9 |         48 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/creators/index.ts                            | TypeScript         |          7 |          0 |          1 |          8 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/drawers/flowchartDrawer.ts                   | TypeScript         |        312 |         26 |         22 |        360 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/clickOutside.ts                      | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/debounce.ts                          | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/generateKey.ts                       | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/getRandomColor.ts                    | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/brianholmes/Documents/Codesmith/Projects/OSP/Svelvet Library/svelvet/src/lib/utils/helpers/getTouchDistance.ts                  | TypeScript         |          5 |          1 |          1 |          7 |
